epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,5205.6,0.81455,0.43178,0.81214,0.94417,0.9737,0.98672,0.80506,0.76435,0.40345,0.82327,0.0013466,0.0013466,0.0013466
68,5282.92,0.84625,0.44241,0.82405,0.96521,0.97576,0.98671,0.80257,0.752,0.40037,0.83095,0.0013367,0.0013367,0.0013367
69,5360.22,0.80653,0.42543,0.81663,0.96165,0.97273,0.98482,0.81355,0.7255,0.38501,0.81793,0.0013268,0.0013268,0.0013268
70,5437.48,0.79778,0.42301,0.82408,0.96444,0.97576,0.98847,0.78036,0.85289,0.42679,0.83294,0.0013169,0.0013169,0.0013169
71,5514.5,0.8162,0.42812,0.81632,0.97266,0.97011,0.98554,0.80625,0.75039,0.38889,0.82948,0.001307,0.001307,0.001307
72,5591.41,0.79822,0.41693,0.81158,0.95849,0.97954,0.98867,0.82196,0.71512,0.38188,0.82111,0.0012971,0.0012971,0.0012971
73,5670.19,0.77398,0.39983,0.82079,0.95603,0.98831,0.987,0.80699,0.71169,0.37857,0.82319,0.0012872,0.0012872,0.0012872
74,5747.05,0.79382,0.41464,0.81573,0.97008,0.98246,0.99022,0.798,0.79339,0.38322,0.82392,0.0012773,0.0012773,0.0012773
75,5823.94,0.79274,0.42951,0.81775,0.94965,0.97167,0.98829,0.80351,0.72381,0.39548,0.82034,0.0012674,0.0012674,0.0012674
76,5900.72,0.80154,0.41252,0.81699,0.96897,0.98485,0.98644,0.81379,0.70162,0.37726,0.82271,0.0012575,0.0012575,0.0012575
77,5977.78,0.78746,0.41933,0.81736,0.9729,0.97576,0.98865,0.80506,0.73384,0.39522,0.82487,0.0012476,0.0012476,0.0012476
78,6055.07,0.74997,0.40728,0.81298,0.95841,0.97273,0.98105,0.80552,0.7492,0.38952,0.8261,0.0012377,0.0012377,0.0012377
79,6132.36,0.78365,0.40148,0.81711,0.95872,0.98525,0.98718,0.81163,0.71086,0.38082,0.81865,0.0012278,0.0012278,0.0012278
80,6209.62,0.81196,0.41594,0.81737,0.95314,0.98788,0.9818,0.79594,0.73606,0.3919,0.8279,0.0012179,0.0012179,0.0012179
81,6286.97,0.78689,0.40245,0.81674,0.9699,0.97639,0.98547,0.8016,0.73354,0.3847,0.8194,0.001208,0.001208,0.001208
82,6364.19,0.76085,0.39891,0.81189,0.96406,0.96364,0.98688,0.82094,0.70883,0.37361,0.8126,0.0011981,0.0011981,0.0011981
83,6441.18,0.76708,0.40471,0.81228,0.95823,0.97335,0.98168,0.79336,0.79161,0.3951,0.83006,0.0011882,0.0011882,0.0011882
84,6518.04,0.7701,0.40611,0.81882,0.97278,0.97448,0.99106,0.82269,0.71281,0.37707,0.82368,0.0011783,0.0011783,0.0011783
85,6596.85,0.76008,0.39934,0.82048,0.95829,0.97471,0.98732,0.81557,0.72305,0.38502,0.81869,0.0011684,0.0011684,0.0011684
86,6673.79,0.77965,0.40766,0.81417,0.96399,0.97338,0.98975,0.81509,0.72035,0.39195,0.81785,0.0011585,0.0011585,0.0011585
87,6750.58,0.75997,0.3995,0.8054,0.96306,0.98182,0.9897,0.82477,0.71774,0.38033,0.81031,0.0011486,0.0011486,0.0011486
88,6829.36,0.76564,0.39948,0.81607,0.95746,0.99394,0.98946,0.83241,0.66786,0.35855,0.8146,0.0011387,0.0011387,0.0011387
89,6908.33,0.75505,0.38697,0.81619,0.94282,0.97576,0.98842,0.83242,0.6815,0.36503,0.81872,0.0011288,0.0011288,0.0011288
90,6987.43,0.76707,0.38578,0.81365,0.9783,0.97879,0.99037,0.81551,0.69858,0.3565,0.81726,0.0011189,0.0011189,0.0011189
91,7064.62,0.8019,0.4205,0.81578,0.97018,0.97273,0.98667,0.81871,0.70925,0.37009,0.82208,0.001109,0.001109,0.001109
92,7141.88,0.75358,0.39234,0.81182,0.96978,0.97576,0.98684,0.80746,0.72521,0.37662,0.82446,0.0010991,0.0010991,0.0010991
93,7219.16,0.74957,0.38791,0.7987,0.97085,0.98485,0.99064,0.81716,0.70095,0.35886,0.8255,0.0010892,0.0010892,0.0010892
94,7296.43,0.76376,0.39462,0.80412,0.96464,0.98485,0.98838,0.81485,0.73801,0.37602,0.81979,0.0010793,0.0010793,0.0010793
95,7373.51,0.74896,0.38273,0.80991,0.96828,0.97576,0.98751,0.81168,0.73283,0.36659,0.82637,0.0010694,0.0010694,0.0010694
96,7450.42,0.7299,0.38181,0.81838,0.94762,0.97273,0.97851,0.80424,0.72683,0.39048,0.81774,0.0010595,0.0010595,0.0010595
97,7527.23,0.74644,0.38589,0.80945,0.96107,0.97262,0.98595,0.81271,0.71183,0.37073,0.8158,0.0010496,0.0010496,0.0010496
98,7604.03,0.74187,0.38247,0.80609,0.93702,0.97879,0.97932,0.82009,0.67177,0.3618,0.81299,0.0010397,0.0010397,0.0010397
99,7680.78,0.76669,0.39025,0.80406,0.96775,0.97273,0.98665,0.81871,0.71695,0.36031,0.82161,0.0010298,0.0010298,0.0010298
100,7757.61,0.73257,0.38102,0.79819,0.95056,0.96061,0.98563,0.82286,0.70122,0.36187,0.8176,0.0010199,0.0010199,0.0010199
101,7834.54,0.73248,0.37267,0.80993,0.96439,0.98471,0.98733,0.82816,0.67654,0.35043,0.81422,0.00101,0.00101,0.00101
102,7911.75,0.74505,0.38444,0.80572,0.95899,0.99199,0.98922,0.81765,0.73902,0.37003,0.81556,0.0010001,0.0010001,0.0010001
103,7989,0.74597,0.37371,0.80989,0.96105,0.97196,0.98614,0.82468,0.68376,0.34521,0.82013,0.0009902,0.0009902,0.0009902
104,8066.24,0.72689,0.36917,0.80886,0.97245,0.96276,0.98427,0.80361,0.72994,0.35914,0.81825,0.0009803,0.0009803,0.0009803
105,8143.46,0.75029,0.37769,0.79494,0.95284,0.9796,0.98331,0.82553,0.6775,0.3519,0.81314,0.0009704,0.0009704,0.0009704
106,8220.72,0.70164,0.36213,0.80115,0.96443,0.98596,0.98751,0.81696,0.70356,0.34939,0.81701,0.0009605,0.0009605,0.0009605
107,8297.76,0.71915,0.36961,0.80195,0.95302,0.98344,0.98199,0.82289,0.67919,0.3632,0.81091,0.0009506,0.0009506,0.0009506
108,8374.66,0.74863,0.39462,0.81481,0.95814,0.97108,0.98269,0.81724,0.71169,0.3768,0.81322,0.0009407,0.0009407,0.0009407
109,8451.62,0.75592,0.38724,0.79783,0.94892,0.99091,0.98548,0.82573,0.69033,0.36165,0.81416,0.0009308,0.0009308,0.0009308
110,8528.48,0.71525,0.36771,0.80065,0.94736,0.99394,0.98391,0.82225,0.67753,0.36265,0.80837,0.0009209,0.0009209,0.0009209
111,8605.34,0.71191,0.35717,0.79755,0.9743,0.96667,0.98615,0.81461,0.71482,0.35702,0.81581,0.000911,0.000911,0.000911
112,8682.17,0.7051,0.3553,0.80779,0.97293,0.98014,0.9873,0.83663,0.67467,0.33724,0.81071,0.0009011,0.0009011,0.0009011
113,8760.97,0.71662,0.35948,0.80483,0.96703,0.97756,0.98689,0.83376,0.67736,0.34492,0.80828,0.0008912,0.0008912,0.0008912
114,8838.23,0.66819,0.34709,0.8063,0.96977,0.97879,0.98601,0.83206,0.66631,0.34271,0.80914,0.0008813,0.0008813,0.0008813
115,8915.44,0.70751,0.3657,0.79723,0.96925,0.97879,0.98599,0.82781,0.68442,0.34999,0.81323,0.0008714,0.0008714,0.0008714
116,8992.69,0.68657,0.35896,0.79451,0.96136,0.98025,0.98875,0.81523,0.72277,0.35698,0.8187,0.0008615,0.0008615,0.0008615
117,9070.02,0.69607,0.35188,0.79952,0.97884,0.98143,0.98557,0.83069,0.67778,0.34305,0.81057,0.0008516,0.0008516,0.0008516
118,9147.33,0.7112,0.35752,0.79363,0.96425,0.98182,0.98525,0.81937,0.7085,0.35268,0.81019,0.0008417,0.0008417,0.0008417
